estLocus,Nomen,Textus,LEMMA,AETATIS CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE
estlocus1,Neapolitano,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,Neapolitanus,12214,NJ,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w8,967754
estlocus1,Sabinensi,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w10,967762
estlocus1,Ragusino,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w12,967770
estlocus1,RACVSAEORVM,IACOBVS BONVS RACVSAEORVM ORATOR AD LEONEM DECIMVM PONT. MAX.,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg2.w3,967795
estlocus1,Paphiam,"Diuas , quae Paphiam deam colentem",Paphius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l1.w3,967842
estlocus1,Idalii,Siluas Idalii et nemus Cytheri,Idalium,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l2.w2,967863
estlocus4,Cytheri,Siluas Idalii et nemus Cytheri,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l2.w5,967875
estlocus4,Orbes,Orbes quem decimum uocant Leonem .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l9.app.rdg2.w1,968226
estlocus4,Vrbis,Vrbis : que illyrici caput tenetur .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l14.app.rdg1.w1,968544
estlocus1,RACVSAEI,IACOBI BONI RACVSAEI SVB FIGVRA HERCVLIS CHRISTI PRAELVDIVM DEDICATVM LEONI X PONT. MAX. LIBER PRIMVS : AGLAIA,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.head.w3,968703
estlocus1,Taenarias,Taenarias fauces et debellata profundi,Taenarius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l1.w1,968768
estlocus1,Mycenaeo,"Monstra Mycenaeo domuit superat sub rege , timendus",Mycenaeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l5.w2,968926
estlocus1,Oechalicas,"Victor , et Oechalicas euertit funditus arces .",Oechalicus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l6.w3,968985
estlocus4,Helicona,"Adsis , o Helicona tuens Iouis alma propago ,",Helicon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l7.w3,969022
estlocus4,Latoo,Seu tua Latoo potius cunabula Cyntho,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l12.w3,969207
estlocus4,Cyntho,Seu tua Latoo potius cunabula Cyntho,Cynthus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l12.w6,969219
estlocus1,Patarea,Flammiferae seu templa colis Patarea Chimaerae .,Patareus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l13.w5,969244
estlocus1,Chimaerae,Flammiferae seu templa colis Patarea Chimaerae .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l13.w6,969248
estlocus1,Thymbraee,Non te ad uulgatum Thymbraee uocamus Apollo,Thymbraeus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l14.w5,969277
estlocus1,Carthago,Perfida Carthago deuictaque Pergama flammis,Carthago,09905,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l18.w2,969409
estlocus1,Pergama,Perfida Carthago deuictaque Pergama flammis,Pergama,09905,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l18.w4,969417
estlocus1,Maleae,"Est prope in obiectu rabidae spelunca Maleae ,",Malea,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l22.w7,969565
estlocus1,Spartano,"Spartano praetenta sinu , qua Ditis anhelat",Spartanus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l23.w1,969578
estlocus4,Ditis,"Spartano praetenta sinu , qua Ditis anhelat",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l23.w5,969598
estlocus4,Orcus,Spiritus ater olens uasto et fremit Orcus hiatu .,Orcus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l24.w7,969635
estlocus1,Stygiique,Inuasit Stygiique ferox sacraria regni,Stygius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l26.w2,969685
estlocus4,Erebi,Et caligantes Erebi deuenit ad umbras .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l27.w3,969714
estlocus4,Orci,"Quamuis inferni trita est uia , uos tamen Orci",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l28.w8,969771
estlocus1,Phlegeton,"Panditis et Phlegeton quos gurgite lustrat adusto ,",Phlegethon,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l30.w3,969825
estlocus1,Tartareae,Et uos Tartareae secreta silentia noctis,Tartareus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l31.w3,969862
estlocus1,Andini,Adsitis : sequor Andini uestigia uatis .,Andinus,38013,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l32.w3,969895
estlocus1,Auerni,Principio ad fauces tetri stabulantur Auerni,Avernus,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l33.w6,969936
estlocus1,Scyllaque,"Scyllaque , Circaeis quoi latrant inguina monstris ,",Scylla,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l35.w1,969982
estlocus1,Parrhasius,"Parrhasius serpens , ignisque erructat eructat ad auras",Parrhasius,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l38.w1,970081
estlocus1,Chimaera,Fumantes horrenda globos terno ore Chimaera .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l39.w6,970152
estlocus1,Gerionesque,"Stant prope , Gerionesque triceps procul aufugit hostem ,",LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l42.w3,970239
estlocus1,Acherontis,Acherontis ad amnes,Acheron,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg1.w1,970861
estlocus1,Acheruntis,Acheruntis ad amnes,Acheruns,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg2.w1,970878
estlocus1,Acheruntis,Acheruntis ad amnem,Acheruns,09904,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg3.w1,970895
