estLocus,Nomen,Textus,LEMMA,LOCI NOMEN,AETATIS CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,NČ OP.
estlocus4,Idea,"Nigrior Idea nunc es pice, corue, sed idem",Idaeus,Ida M.,00001,NJ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div13.l1.w2,1058394,"zadržan perseus:latlexent, poslan issue na githubu"
estlocus4,Sithonia,Sithonia fueras albior ipse niue.,Sithonius,Sithone,09904,NJ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div13.l2.w1,1058431,
estlocus4,Cylenia,"Hic lapis est index, sed si Cylenia furta",Cyllenius,Kyllene M.,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div17.l1.w7,1058693,*nisam sigurna
estlocus2,Thebeę,Nobile Thebeę surgat ut urbis opus.,Thebaeus,Thebai/Thebae ,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div19.l2.w2,1058838,*nisam sigurna
estlocus1,Cęphiso,Arsit amans Echo Cęphiso flumine natum:,Cephisus,Cephisus fl.,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div24.l1.w4,1059178,*nisam sigurna
estlocus4,Idei,Daphnidis Idei saxea fata docent.,Idaeus,Ida M.,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div30.l2.w2,1059656,*nisam sigurna
estlocus4,Salmacis,Salmacis et Hermaphroditus,Salmacis,fons in Caria apud Halicarnassum,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div31.head.w1,1059683,*nisam sigurna
estlocus4,Salmacis,"Dum fuit ignotus tibi, Salmacis, Hermaphroditus,",Salmacis,fons in Caria apud Halicarnassum,09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div31.l1.w5,1059717,*nisam sigurna
estlocus4,Thebanę,"Mineides, Thebanę sorores",Thebanus,Thebai/Thebae ,09904,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div32.head.w2,1059772,*nisam sigurna
estlocus1,Olympum,Athlas Iapetides stellarum torquet Olympum,Olympus,sky (celestial dome),09903,NČ,urn:cts:croala:marul01.croala754085.croala-lat2w:group.text1.body.div39.l1.w5,1060362,*nisam sigurna
