nomen,label,uri,citebody,creator,datecreated
Sanctus Sixtus,San Sisto Vecchio (Roma),http://www.wikidata.org/wiki/Q2736770,00435,http://orcid.org/0000-0002-9119-399X,2016-09-03
Modrusium,Modruš,http://www.wikidata.org/wiki/Q958041,00473,http://orcid.org/0000-0002-9119-399X,2016-09-03
Liguria,Liguria,http://pleiades.stoa.org/places/383698,02372,http://orcid.org/0000-0002-9119-399X,2016-09-03
Saona,Savona,http://pleiades.stoa.org/places/383770,02382,http://orcid.org/0000-0002-9119-399X,2016-09-03
Senae,Siena,http://pleiades.stoa.org/places/413293,03151,http://orcid.org/0000-0002-9119-399X,2016-09-03
Vicheria,Voghera,http://www.wikidata.org/wiki/Q39981,04108,http://orcid.org/0000-0002-9119-399X,2016-09-03
Papia,Ticino Pavia,http://pleiades.stoa.org/places/383798,04145,http://orcid.org/0000-0002-9119-399X,2016-09-03
Patavium,Padova,http://pleiades.stoa.org/places/393473,04158,http://orcid.org/0000-0002-9119-399X,2016-09-03
Venetiae,Venezia,http://www.wikidata.org/wiki/Q641,04171,http://orcid.org/0000-0002-9119-399X,2016-09-03
Bononia,Bologna,http://pleiades.stoa.org/places/206975,04180,http://orcid.org/0000-0002-9119-399X,2016-09-03
Perusium,Perugia,http://pleiades.stoa.org/places/413248,04189,http://orcid.org/0000-0002-9119-399X,2016-09-03
Ferraria,Ferrara,http://pleiades.stoa.org/places/471923,04207,http://orcid.org/0000-0002-9119-399X,2016-09-03
Italia,Italia,http://pleiades.stoa.org/places/1052,04240,http://orcid.org/0000-0002-9119-399X,2016-09-03
Roma,Roma,http://pleiades.stoa.org/places/423025,05214,http://orcid.org/0000-0002-9119-399X,2016-09-03
Mediolanum,Milano,http://pleiades.stoa.org/places/383706,12214,http://orcid.org/0000-0002-9119-399X,2016-09-03
Imola,Imola,http://pleiades.stoa.org/places/393424,12653,http://orcid.org/0000-0002-9119-399X,2016-09-03
Bosti,Bosco Marengo,http://www.wikidata.org/wiki/Q17283,12776,http://orcid.org/0000-0002-9119-399X,2016-09-03
diui Gregorii templum,"San Gregorio Magno al Celio (chiesa, Roma)",http://www.wikidata.org/wiki/Q748459,14869,http://orcid.org/0000-0002-9119-399X,2016-09-03
Taruixium,Treviso,http://pleiades.stoa.org/places/393503,14928,http://orcid.org/0000-0002-9119-399X,2016-09-03
Taruixii maior basilica,Duomo di Treviso,http://www.wikidata.org/wiki/Q51149,14933,http://orcid.org/0000-0002-9119-399X,2016-09-03
Ambrosii monasterium,"Basilica di Sant'Ambrogio, Milano",http://www.wikidata.org/wiki/Q1071570,14996,http://orcid.org/0000-0002-9119-399X,2016-09-03
Maioli fanum,San Maiolo (Pavia),http://thesaurus.cerl.org/record/cnc00020580,15143,http://orcid.org/0000-0002-9119-399X,2016-09-03
sacra apostolorum aedes,"Santi Apostoli (basilica, Roma)",http://www.wikidata.org/wiki/Q1515300,15525,http://orcid.org/0000-0002-9119-399X,2016-09-03
Hungaria,Kingdom of Hungary,http://www.wikidata.org/wiki/Q171150,22082,http://orcid.org/0000-0002-9119-399X,2016-09-03
Praga,Prague,http://www.wikidata.org/wiki/Q1085,23841,http://orcid.org/0000-0002-9119-399X,2016-09-03
Vienna,Vienna,http://www.wikidata.org/wiki/Q1741,25611,http://orcid.org/0000-0002-9119-399X,2016-09-03
Noricum,Noricum,http://pleiades.stoa.org/places/981538,26324,http://orcid.org/0000-0002-9119-399X,2016-09-03
Carnicum,Carniola,http://www.wikidata.org/wiki/Q193474,26333,http://orcid.org/0000-0002-9119-399X,2016-09-03
Europa,Europe,http://www.wikidata.org/wiki/Q46,26446,http://orcid.org/0000-0002-9119-399X,2016-09-03
Austria,Austria,http://www.wikidata.org/wiki/Q40,26716,http://orcid.org/0000-0002-9119-399X,2016-09-03
Alba Regia,Székesfehérvár,http://www.wikidata.org/wiki/Q130212,27429,http://orcid.org/0000-0002-9119-399X,2016-09-03
Alemania,Holy Roman Empire,http://www.wikidata.org/wiki/Q12548,29072,http://orcid.org/0000-0002-9119-399X,2016-09-03
Buda,Buda,http://www.wikidata.org/wiki/Q193478,30189,http://orcid.org/0000-0002-9119-399X,2016-09-03
Dacicum,Dacia,http://pleiades.stoa.org/places/207065,32295,http://orcid.org/0000-0002-9119-399X,2016-09-03
Rhacusa,Dubrovnik,http://www.wikidata.org/wiki/Q1722,34308,http://orcid.org/0000-0002-9119-399X,2016-09-03
Dalmatia,Dalmatia,http://pleiades.stoa.org/places/197240,34329,http://orcid.org/0000-0002-9119-399X,2016-09-03
Rhacosium,Rákos-mező,http://www.wikidata.org/wiki/Q1252407,35118,http://orcid.org/0000-0002-9119-399X,2016-09-03
Pestum,Pest,http://www.wikidata.org/wiki/Q210205,35195,http://orcid.org/0000-0002-9119-399X,2016-09-03
Danubius,Danuvius/Istros/Hister fl.,http://pleiades.stoa.org/places/226577,35245,http://orcid.org/0000-0002-9119-399X,2016-09-03
Adriaticum mare,(H)Adriaticum/Superum Mare,http://pleiades.stoa.org/places/1004,35575,http://orcid.org/0000-0002-9119-399X,2016-09-03
Pontus Euxinus,Pontus Euxinus,http://pleiades.stoa.org/places/1224,35658,http://orcid.org/0000-0002-9119-399X,2016-09-03
Dravus,Dravus (river),http://pleiades.stoa.org/places/197253,36171,http://orcid.org/0000-0002-9119-399X,2016-09-03
Thracia,Thracia,http://pleiades.stoa.org/places/501638,36748,http://orcid.org/0000-0002-9119-399X,2016-09-03
Macedonia,Macedonia,http://pleiades.stoa.org/places/491656,36771,http://orcid.org/0000-0002-9119-399X,2016-09-03
Illyricum,Illyricum,http://pleiades.stoa.org/places/481865,36788,http://orcid.org/0000-0002-9119-399X,2016-09-03
Pannonia,Pannonia,http://pleiades.stoa.org/places/197425,36801,http://orcid.org/0000-0002-9119-399X,2016-09-03
Vistula,Vistula (river),http://pleiades.stoa.org/places/20639,37754,http://orcid.org/0000-0002-9119-399X,2016-09-03
Albis,Albis fl.,http://pleiades.stoa.org/places/98909,37775,http://orcid.org/0000-0002-9119-399X,2016-09-03
Rhaxia,Serbia,http://www.wikidata.org/wiki/Q403,37963,http://orcid.org/0000-0002-9119-399X,2016-09-03
Rhipaei,Rhipaei montes,http://www.wikidata.org/wiki/Q20552181,38013,http://orcid.org/0000-0002-9119-399X,2016-09-03
Asia,Asia,http://pleiades.stoa.org/places/981509,38242,http://orcid.org/0000-0002-9119-399X,2016-09-03
Rha,Rha/Attila (river),http://pleiades.stoa.org/places/834296,38255,http://orcid.org/0000-0002-9119-399X,2016-09-03
Moschovia,Moscow,http://www.wikidata.org/wiki/Q649,38340,http://orcid.org/0000-0002-9119-399X,2016-09-03
Scythia,Scythia,http://pleiades.stoa.org/places/991379,38403,http://orcid.org/0000-0002-9119-399X,2016-09-03
Pontus Euxinus,Caspium/Hyrcanium Mare,http://pleiades.stoa.org/places/884130,38424,http://orcid.org/0000-0002-9119-399X,2016-09-03
Tanais,Tanais (river),http://pleiades.stoa.org/places/825398,41314,http://orcid.org/0000-0002-9119-399X,2016-09-03
Latium,Latium,http://pleiades.stoa.org/places/432900,42340,http://orcid.org/0000-0002-9119-399X,2016-09-03
Polonia,Poland,http://www.wikidata.org/wiki/Q36,45266,http://orcid.org/0000-0002-9119-399X,2016-09-03
Bohemia,Bohemia,http://www.wikidata.org/wiki/Q39193,50557,http://orcid.org/0000-0002-9119-399X,2016-09-03
Valdanus,Una,http://www.wikidata.org/wiki/Q212927,61489,http://orcid.org/0000-0002-9119-399X,2016-09-03
Drinus,Dreinos fl.,http://pleiades.stoa.org/places/207097,61527,http://orcid.org/0000-0002-9119-399X,2016-09-03
Bossina,Bosnia,http://www.wikidata.org/wiki/Q188736,61578,http://orcid.org/0000-0002-9119-399X,2016-09-03
Iaiza,Jajce,http://www.wikidata.org/wiki/Q258429,62244,http://orcid.org/0000-0002-9119-399X,2016-09-03
Rhodus,Rhodos (island),http://pleiades.stoa.org/places/590031,63462,http://orcid.org/0000-0002-9119-399X,2016-09-03
Lycia,Lykia,http://pleiades.stoa.org/places/1001914,63467,http://orcid.org/0000-0002-9119-399X,2016-09-03
Scarvisius,Sárvíz,http://www.wikidata.org/wiki/Q1315093,64462,http://orcid.org/0000-0002-9119-399X,2016-09-03
Batha,Báta,http://www.wikidata.org/wiki/Q853601,67890,http://orcid.org/0000-0002-9119-399X,2016-09-03
Visegradum,Vyšehrad,http://www.wikidata.org/wiki/Q616334,77221,http://orcid.org/0000-0002-9119-399X,2016-09-03
Strigonium,Esztergom,http://www.wikidata.org/wiki/Q171353,89171,http://orcid.org/0000-0002-9119-399X,2016-09-03
Idaeus,Ida M.,https://pleiades.stoa.org/places/550592,38500,http://orcid.org/0000-0002-9119-399X,2016-11-08
Eous,Orient,https://www.wikidata.org/wiki/Q205653,45300,http://orcid.org/0000-0002-9119-399X,2016-11-08
Abyla,Abila M.,https://pleiades.stoa.org/places/275577,50600,http://orcid.org/0000-0002-9119-399X,2016-11-08
Abdua,Addua (river),https://pleiades.stoa.org/places/383543,67900,http://orcid.org/0000-0002-9119-399X,2016-11-08
Sithonius,Sithone,https://pleiades.stoa.org/places/507462,38501,http://orcid.org/0000-0002-0438-6049 ,2016-11-09
Cyllenius,Kyllene M.,https://pleiades.stoa.org/places/570391,38502,http://orcid.org/0000-0002-0438-6049 ,2016-11-09
Thebaeus,Thebai/Thebae ,https://pleiades.stoa.org/places/541138,38503,http://orcid.org/0000-0002-0438-6049 ,2016-11-09
Cephisus,Cephisus fl. ,https://pleiades.stoa.org/places/550592,38504,http://orcid.org/0000-0002-0438-6049 ,2016-11-09
