estLocus,Nomen,Textus,URN
estlocus0,AGLAIA,IACOBI BONI RACVSAEI SVB FIGVRA HERCVLIS CHRISTI PRAELVDIVM DEDICATVM LEONI X PONT. MAX. LIBER PRIMVS : AGLAIA,bunic02.croala1761880.croala-lat2w:body.div1.head.w14
estlocus1,Abyla,"Limina , in Hispanam Calpen qua surgit Abyla",bunic02.croala1761880.croala-lat2w:body.div1.l157.w7
estlocus4,Acheloe,"Seu fontes , Acheloe , tuos , si conspicit arma",bunic02.croala1761880.croala-lat2w:body.div3.l122.w3
estlocus4,Achelous,Et flauus Tybris cornuque Achelous adempto,bunic02.croala1761880.croala-lat2w:body.div1.l221.w5
estlocus1,Acheronque,Bellides implerunt Acheronque obmutuit undis .,bunic02.croala1761880.croala-lat2w:body.div2.l104.w3
estlocus1,Acheronta,Aera per tenuem praeceps Acheronta sub imum,bunic02.croala1761880.croala-lat2w:body.div3.l111.w5
estlocus1,Acheronte,Et quanquam sese quod saeuo Acheronte manebat,bunic02.croala1761880.croala-lat2w:body.div1.l253.w6
estlocus1,Acheronte,"Pressa Acheronte truci , quae proelia uoce cieret",bunic02.croala1761880.croala-lat2w:body.div2.l188.w2
estlocus1,Acheronte,Impius ex atro sontes Acheronte satelles,bunic02.croala1761880.croala-lat2w:body.div3.l25.w5
estlocus1,Acherontis,Acherontis ad amnes,bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg1.w1
estlocus1,Acherontis,Sed si uictorem spoliis Acherontis iniqui,bunic02.croala1761880.croala-lat2w:body.div2.l63.w5
estlocus1,Acherontis,Dictaei fratres saeuas Acherontis habenas,bunic02.croala1761880.croala-lat2w:body.div3.l43.w4
estlocus1,Acherontis,Mille deos Acherontis agit . Hinc arduus instat,bunic02.croala1761880.croala-lat2w:body.div3.l76.w3
estlocus1,Acherontis,Herculis aufugit moestas Acherontis in aedes .,bunic02.croala1761880.croala-lat2w:body.div3.l160.w4
estlocus1,Acherontis,"Pallentes Acherontis aquae , silet igneus amnis",bunic02.croala1761880.croala-lat2w:body.div3.l204.w2
estlocus1,Acheruntis,Acheruntis ad amnes,bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg2.w1
estlocus1,Acheruntis,Acheruntis ad amnem,bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg3.w1
estlocus0,Actei,"Limnoria , Actei Cymodoceque",bunic02.croala1761880.croala-lat2w:body.div1.l166.app.rdg2.w2
estlocus0,Acteique,"Liminoriaque , Acteique , Spioque ,",bunic02.croala1761880.croala-lat2w:body.div1.l166.app.rdg1.w2
estlocus0,Admeti,Coniugis Admeti furuis e sedibus Orci,bunic02.croala1761880.croala-lat2w:body.div3.l344.w2
estlocus0,Aeacus,"Aeacus Europae gentes , Rhadamantus Eoas",bunic02.croala1761880.croala-lat2w:body.div3.l46.w1
estlocus0,Aegaeone,"Aegaeone manus , linguisque sonantibus instat",bunic02.croala1761880.croala-lat2w:body.div1.l37.w1
estlocus0,Aeolias,Nil timet Aeolias hyemes aestumque minacis,bunic02.croala1761880.croala-lat2w:body.div2.l203.w3
estlocus0,Aeolides,Tractus et Aeolides dura cum caute rotaque,bunic02.croala1761880.croala-lat2w:body.div2.l102.w3
estlocus0,Aeoliis,Dicas Aeoliis fluctus eferuere uentis,bunic02.croala1761880.croala-lat2w:body.div2.l31.w2
