estLocus,Nomen,Textus,LEMMA,LOCI CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Neapolitano,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,Neapolitanus,56070.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w8,967754.0,,,,,,,,,,,,,,,,,
estlocus1,Sabinensi,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w10,967762.0,,,,,,,,,,,,,,,,,
estlocus1,Ragusino,Reuerendissimo in Christo patri D. Oliuerio Carraphe Cardinali Neapolitano episcopo Sabinensi protectori Ragusino Iacobus Bonus,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg1.w12,967770.0,,,,,,,,,,,,,,,,,
estlocus1,RACVSAEORVM,IACOBVS BONVS RACVSAEORVM ORATOR AD LEONEM DECIMVM PONT. MAX.,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.head.app.rdg2.w3,967795.0,,,,,,,,,,,,,,,,,
estlocus1,Paphiam,"Diuas , quae Paphiam deam colentem",Paphius,50684.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l1.w3,967842.0,,,,,,,,,,,,,,,,,
estlocus1,Idalii,Siluas Idalii et nemus Cytheri,Idalium,50648.0,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l2.w2,967863.0,,,,,,,,,,,,,,,,,
estlocus4,Cytheri,Siluas Idalii et nemus Cytheri,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l2.w5,967875.0,,,,,,,,,,,,,,,,,
estlocus4,Orbes,Orbes quem decimum uocant Leonem .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l9.app.rdg2.w1,968226.0,,,,,,,,,,,,,,,,,
estlocus4,Vrbis,Vrbis : que illyrici caput tenetur .,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:front.app2.rdg2.div.l14.app.rdg1.w1,968544.0,,,,,,,,,,,,,,,,,
estlocus1,RACVSAEI,IACOBI BONI RACVSAEI SVB FIGVRA HERCVLIS CHRISTI PRAELVDIVM DEDICATVM LEONI X PONT. MAX. LIBER PRIMVS : AGLAIA,LEMMA,,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.head.w3,968703.0,,,,,,,,,,,,,,,,,
