nomen,label,uri,citebody,creator,datecreated,NČ op.
Senaria,Suanir/Senair,http://croala.ffzg.unizg.hr/basex/places/18112016,38571,http://orcid.org/0000-0002-0438-6049,2016-11-11,
Nadabar,"Naddabar or Naddaver: Unkown place in Asia Minor (Ethiopia), place of purported martyrdom of St. Matthew","http://croala.ffzg.unizg.hr/basex/places/18112017
",38594,http://orcid.org/0000-0002-0438-6049,2016-11-11,
Salmacis,"Salmacis (Σαλμακίς), fons in Caria apud Halicarnassum",http://croala.ffzg.unizg.hr/basex/places/18112018,38598,http://orcid.org/0000-0002-0438-6049,2016-11-13,
Lycia,Lykia,http://pleiades.stoa.org/places/1001914,63467,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Adriaticum mare,(H)Adriaticum/Superum Mare,http://pleiades.stoa.org/places/1004,35575,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Italia,Italia,http://pleiades.stoa.org/places/1052,04240,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Pontus Euxinus,Pontus Euxinus,http://pleiades.stoa.org/places/1224,35658,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Dalmatia,Dalmatia,http://pleiades.stoa.org/places/197240,34329,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Dravus,Dravus (river),http://pleiades.stoa.org/places/197253,36171,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Pannonia,Pannonia,http://pleiades.stoa.org/places/197425,36801,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Vistula,Vistula (river),http://pleiades.stoa.org/places/20639,37754,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Bononia,Bologna,http://pleiades.stoa.org/places/206975,04180,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Dacicum,Dacia,http://pleiades.stoa.org/places/207065,32295,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Drinus,Dreinos fl.,http://pleiades.stoa.org/places/207097,61527,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Danubius,Danuvius/Istros/Hister fl.,http://pleiades.stoa.org/places/226577,35245,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Liguria,Liguria,http://pleiades.stoa.org/places/383698,02372,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Mediolanum,Milano,http://pleiades.stoa.org/places/383706,12214,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Saona,Savona,http://pleiades.stoa.org/places/383770,02382,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Papia,Ticino Pavia,http://pleiades.stoa.org/places/383798,04145,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Imola,Imola,http://pleiades.stoa.org/places/393424,12653,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Patavium,Padova,http://pleiades.stoa.org/places/393473,04158,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Taruixium,Treviso,http://pleiades.stoa.org/places/393503,14928,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Perusium,Perugia,http://pleiades.stoa.org/places/413248,04189,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Senae,Siena,http://pleiades.stoa.org/places/413293,03151,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Roma,Roma,http://pleiades.stoa.org/places/423025,05214,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Latium,Latium,http://pleiades.stoa.org/places/432900,42340,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Ferraria,Ferrara,http://pleiades.stoa.org/places/471923,04207,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Illyricum,Illyricum,http://pleiades.stoa.org/places/481865,36788,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Macedonia,Macedonia,http://pleiades.stoa.org/places/491656,36771,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Thracia,Thracia,http://pleiades.stoa.org/places/501638,36748,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Ossa,Ossa,http://pleiades.stoa.org/places/540993,50682,http://orcid.org/0000-0001-5515-6545,2016-11-11,
Spercheos,Spercheios,http://pleiades.stoa.org/places/541112,50704,http://orcid.org/0000-0001-5515-6545,2016-11-11,
Mycenaeus,Mycenae,http://pleiades.stoa.org/places/570491,50666,http://orcid.org/0000-0001-5515-6545,2016-11-11,
Rhodus,Rhodos (island),http://pleiades.stoa.org/places/590031,63462,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Bethlemum,Bethlehem,http://pleiades.stoa.org/places/687856,45304,http://orcid.org/0000-0002-0438-6049,2016-11-14,
Cyprus,Cyprus (island),http://pleiades.stoa.org/places/707498,38577,http://orcid.org/0000-0002-0438-6049,2016-11-11,
Nilus,Nilus,http://pleiades.stoa.org/places/727172,50674,http://orcid.org/0000-0001-5515-6545,2016-11-11,
Tanais,Tanais (river),http://pleiades.stoa.org/places/825398,41314,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Rha,Rha/Attila (river),http://pleiades.stoa.org/places/834296,38255,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Colchis,Colchis,http://pleiades.stoa.org/places/874432,50624,http://orcid.org/0000-0001-5515-6545,2016-11-10,
Pontus Euxinus,Caspium/Hyrcanium Mare,http://pleiades.stoa.org/places/884130,38424,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Asia Minor,Asia Minor,http://pleiades.stoa.org/places/981509,38242,http://orcid.org/0000-0002-9119-399X,2016-11-27,
Noricum,Noricum,http://pleiades.stoa.org/places/981538,26324,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Albis,Albis fl.,http://pleiades.stoa.org/places/98909,37775,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Scythia,Scythia,http://pleiades.stoa.org/places/991379,38403,http://orcid.org/0000-0002-9119-399X,2016-09-03,
Maioli fanum,San Maiolo (Pavia),http://thesaurus.cerl.org/record/cnc00020580,15143,http://orcid.org/0000-0002-9119-399X,2016-09-03,
