estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus1,Abyla,"Limina , in Hispanam Calpen qua surgit Abyla",Abyla,urn:cite:perseus:latlexent.lex38.1,urn:cite:croala:latmorph.morph.6.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l157.w7,974739.0,,,,,,,,,,,,,,,,,
estlocus4,Acheloe,"Seu fontes , Acheloe , tuos , si conspicit arma",Achelous,urn:cite:perseus:latlexent.lex84.1,urn:cite:croala:latmorph.morph.14.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l122.w3,996809.0,,,,,,,,,,,,,,,,,
estlocus4,Achelous,Et flauus Tybris cornuque Achelous adempto,Achelous,urn:cite:perseus:latlexent.lex84.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l221.w5,977141.0,,,,,,,,,,,,,,,,,
estlocus1,Acheronque,Bellides implerunt Acheronque obmutuit undis .,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.13.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l104.w3,984476.0,,,,,,,,,,,,,,,,,
estlocus1,Acheronta,Aera per tenuem praeceps Acheronta sub imum,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.8.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l111.w5,996450.0,,,,,,,,,,,,,,,,,
estlocus1,Acheronte,Et quanquam sese quod saeuo Acheronte manebat,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.9.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l253.w6,978293.0,,,,,,,,,,,,,,,,,
estlocus1,Acheronte,"Pressa Acheronte truci , quae proelia uoce cieret",Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.9.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l188.w2,987324.0,,,,,,,,,,,,,,,,,
estlocus1,Acheronte,Impius ex atro sontes Acheronte satelles,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.9.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l25.w5,993480.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,Acherontis ad amnes,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg1.w1,970861.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,Sed si uictorem spoliis Acherontis iniqui,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l63.w5,983085.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,Dictaei fratres saeuas Acherontis habenas,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l43.w4,994106.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,Mille deos Acherontis agit . Hinc arduus instat,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l76.w3,995243.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,Herculis aufugit moestas Acherontis in aedes .,Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l160.w4,998063.0,,,,,,,,,,,,,,,,,
estlocus1,Acherontis,"Pallentes Acherontis aquae , silet igneus amnis",Acheron,urn:cite:perseus:latlexent.lex87.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l204.w2,999643.0,,,,,,,,,,,,,,,,,
estlocus1,Acheruntis,Acheruntis ad amnes,Acheruns,urn:cite:perseus:latlexent.lex91.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg2.w1,970878.0,,,,,,,,,,,,,,,,,
estlocus1,Acheruntis,Acheruntis ad amnem,Acheruns,urn:cite:perseus:latlexent.lex91.1,urn:cite:croala:latmorph.morph.11.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l61.app.rdg3.w1,970895.0,,,,,,,,,,,,,,,,,
estlocus1,Aethiopas,Aethiopas duplices axemque uidebat utrumque .,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l296.w1,1002891.0,,,,,,,,,,,,,,,,,
estlocus1,Aethiopum,Regna per Aethiopum . - - - Postquam genitoris adiuit,Aethiopus,urn:cite:perseus:latlexent.lex277.1,urn:cite:croala:latmorph.morph.114.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div1.l275.w3,979136.0,,,,,,,,,,,,,,,,,
estlocus1,Aetnae,Inarimes quique Enceladum subiecimus Aetnae,Aetna,urn:cite:perseus:latlexent.lex280.1,urn:cite:croala:latmorph.morph.4.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l232.w5,988784.0,,,,,,,,,,,,,,,,,
estlocus1,Aetnaeis,"Taenara et Aetnaeis torrens Vulcanus ab antris ,",Aetnaeus,urn:cite:perseus:latlexent.lex281.1,urn:cite:croala:latmorph.morph.80.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div3.l129.w3,997080.0,,,,,,,,,,,,,,,,,
estlocus1,Aetnam,Pluto gerat uetitisque petat procursibus Aetnam .,Aetna,urn:cite:perseus:latlexent.lex280.1,urn:cite:croala:latmorph.morph.1.1,AS,urn:cts:croala:bunic02.croala1761880.croala-lat2w:body.div2.l200.w6,987736.0,,,,,,,,,,,,,,,,,
