estLocus,Nomen,Textus,LEMMA,LEMMA CITE URN,MORPH CITE URN,ANNOTATOR INITIALS,CTS URN,SEQUENCE,,,,,,,,,,,,,,,,,
estlocus4,Eoae,"Qui tamen Eoae gemmas immiscuit algae ,",Eous,urn:cite:perseus:latlexent.lex3005.1,urn:cite:croala:latmorph.morph.102.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l121.w3,4690.0,,,,,,,,,,,,,,,,,
estlocus4,Idumeis,"Spirat Idumeis nardus amoena rubis ,",Idumaeus,urn:cite:croala:latlexent.lext89181.1,urn:cite:croala:latmorph.morph.62.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l142.w2,5349.0,,,,,,,,,,,,,,,,,
estlocus3,Ditis,"Te , lucemque tuam tremit Orcus et intima Ditis",Dis,urn:cite:perseus:latlexent.lex2834.1,urn:cite:croala:latmorph.morph.11.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l159.w8,5896.0,,,,,,,,,,,,,,,,,
estlocus2,Eoo,Quid dicam Eoo uenerandis littore cunis,Eous,urn:cite:perseus:latlexent.lex3005.1,urn:cite:croala:latmorph.morph.135.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l191.w3,6892.0,,,,,,,,,,,,,,,,,
estlocus1,Bactra,Memnonias liquere domos atque ultima Bactra,Bactra,urn:cite:perseus:latlexent.lex1190.1,urn:cite:croala:latmorph.morph.33.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l195.w6,7020.0,,,,,,,,,,,,,,,,,
estlocus1,Aurorae,"Et procul Aurorae ditia regna suae ,",aurora,urn:cite:perseus:latlexent.lex12951.1,urn:cite:croala:latmorph.morph.4.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l196.w3,7036.0,,,,,,,,,,,,,,,,,
estlocus2,Bethlemica,Vtque recognoscunt Bethlemica culmina tantum,Bethleemicus,urn:cite:croala:latlexent.lext89183.1,urn:cite:croala:latmorph.morph.77.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l207.w3,7347.0,,,,,,,,,,,,,,,,,
estlocus1,Idumeos,"Iam per Idumeos iter irreuocabile tendunt ,",Idumaeus,urn:cite:croala:latlexent.lext89181.1,urn:cite:croala:latmorph.morph.62.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l211.w3,7451.0,,,,,,,,,,,,,,,,,
estlocus2,Idaei,"Idaei tibi ficta Iouis cunabula cedant ,",Idaeus,urn:cite:perseus:latlexent.lex3965.1,urn:cite:croala:latmorph.morph.123.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l241.w1,8426.0,,,,,,,,,,,,,,,,,
estlocus1,Iordanem,"Iordanem , loto sacra fluenta Deo ?",Jordanes,urn:cite:perseus:latlexent.lex4197.1,urn:cite:croala:latmorph.morph.8.1,AŽ,urn:cts:croala:crije02.croala292491.croala-lat2w:body.div1.div1.l264.w1,9214.0,,,,,,,,,,,,,,,,,
