Analyzed text (target),Analyzed text (hyperlink),Sequence,Analysis record,Analysis (body),Analytical Exemplar,Text-Content (language: Latin),DONE?
urn:cts:croala:textgroup.title.version:place.ent,,x,urn:cite:croala:loci.1,urn:cite:croala:loci.1,urn:cts:croala:textgroup.title.version.loci:place.ent,Roma,
urn:cts:croala:modr-n.oratio-riar.croala-loci:p2.s1.locus57 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p2.s1.locus57 ,1,urn:cite:croala:loci.19,urn:cite:croala:loci.ana.18,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.18,Saona ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s3.locus24 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s3.locus24 ,2,urn:cite:croala:loci.12,urn:cite:croala:loci.ana.11,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.11,Senis ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus8 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus8 ,3,urn:cite:croala:loci.20,urn:cite:croala:loci.ana.19,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.19,Vicheriae ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus16 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus16 ,4,urn:cite:croala:loci.4,urn:cite:croala:loci.ana.3,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.3,Ticinium ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus18 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus18 ,5,urn:cite:croala:loci.5,urn:cite:croala:loci.ana.4,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.4,Patauium ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus20 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus20 ,6,urn:cite:croala:loci.6,urn:cite:croala:loci.ana.5,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.5,Venetias ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus21 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus21 ,7,urn:cite:croala:loci.7,urn:cite:croala:loci.ana.6,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.6,Bononiam ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus22 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus22 ,8,urn:cite:croala:loci.10,urn:cite:croala:loci.ana.9,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.9,Perusium ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus23 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus23 ,9,urn:cite:croala:loci.11,urn:cite:croala:loci.ana.10,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.10,Senam ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus31 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s10.locus31 ,10,urn:cite:croala:loci.15,urn:cite:croala:loci.ana.14,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.14,Italiae ,OK
urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s17.locus11 ,urn:cts:croala:modr-n.oratio-riar.croala-loci:p3.s17.locus11 ,11,urn:cite:croala:loci.3,urn:cite:croala:loci.ana.2,urn:cts:croala:modr-n.oratio-riar.croala-loci.loc:1.2,Romam ,OK
